,ISBN,result,price_paperback,price_hardcover,Name,Publisher,CountsOfReview,PublishYear,Authors,Rating,Description,Count of text reviews,PagesNumber,RatingDistTotal_split,RatingDist1_final,RatingDist2_final,RatingDist3_final,RatingDist4_final,RatingDist5_final
717,0760786321,"(['  Hardcover  \n $22.76  \n\n\n   \n     2 Used from $22.76      ', '  Paperback  \n $8.48  \n\n\n   \n     5 Used from $4.51      ', '  Textbook Binding  \n $5.97  \n\n\n   \n     1 Used from $5.97      '], '0760786321')",8.48,22.76,Prolegomena to Any Future Metaphysics,Barnes and Noble,1,2007,Immanuel Kant,3.92,"Prolegomena zu einer jeden künftigen Metaphysic, die als Wissenschaft wird auftreten können (Riga: F. J. Hartknoch, 1783), 222 pp. [Ak. 4:255-383] “Prolegomena to any Future Metaphysics that will be able to present itself as a Science.” Translated by Lewis White Beck (Indianapolis: Bobbs-Merrill, 1950). Translated by James Ellington (Indianapolis: Hackett, 1977). Translated by Gary Hatfield in Immanuel Kant, Theoretical Philosophy after 1781, edited by Henry Allison and Peter Heath (Cambridge: Cambridge University Press, 2002), pp. 51-169.",,124.0,8295,223,561,1866,2633,3012
720,0310233283,"(['  Kindle  \n $10.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $10.50  \n\n\n   \n     72 Used from $1.93         16 New from $4.94         1 Collectible from $14.98      ', '  Paperback  \n $12.99  \n\n\n   \n     49 Used from $1.95         14 New from $8.99      ', '  MP3 CD  \n $12.99  \n\n\n   \n     4 New from $9.96      '], '0310233283')",12.99,10.5,"Season of Blessing (Seasons, #4)",Zondervan,1,2002,Beverly LaHaye,4.43,"In this fourth and final novel from Blackstock and LaHaye about the residents of Cedar Circle, Sylvia Bryan is diagnosed with breast cancer -- and all the neighbours rally round to help her in fighting it.",,400.0,1065,3,25,114,294,629
721,1844136930,"(['  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $32.50  \n\n\n   \n     10 Used from $30.30      ', '  Paperback  \n $15.41  \n\n\n   \n     6 Used from $15.39      ', '  Digital  \n    \n                        \n    —\n             \n\n\n   \n  '], '1844136930')",15.41,32.5,"Mortal Mischief (Liebermann Papers, #1)",Century,2,2005,Frank Tallis,3.75,"In 1900s Vienna, Psychoanalyst Dr Max Liebermann is called in to help with police investigations into the murder of a young medium.<br /><br />In this first of a new series of psychoanalytical detective novels set in Vienna, Dr Max Liebermann is a young psychoanalyst – and disciple of Freud. The world of 1900s Vienna is one where philosophy, science and art flourish and are hotly debated in the coffee shops. Psychoanalysis is still developing and is viewed with a mixture of excitement and suspicion.<br /><br />Liebermann’s good friend Oskar Rheinhardt is a Detective Inspector — hard working but lacking Liebermann’s insights and forensic eye, and so it is through Rheinhardt that Liebermann is called upon to help with police investigations surrounding the death of a beautiful young medium in what seems at first to be supernatural circumstances. When Liebermann attempts to get to the bottom of the mystery, he also must decide whether he is to follow his father’s advice and marry the beautiful but reserved Clara.",,320.0,2336,34,152,676,981,493
722,0670036595,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $7.95  \n\n\n   \n     9 Used from $4.95         2 New from $7.95         1 Collectible from $11.49      ', '  Paperback  \n $7.99  \n\n\n   \n     57 Used from $1.16         17 New from $3.50         1 Collectible from $12.00      ', '  Audio CD  \n $19.99  \n\n\n   \n     2 New from $9.99      '], '0670036595')",7.99,7.95,Froggy's Baby Sister,Viking Juvenile,4,2003,Jonathan London,3.94,"Froggy's parents are expecting a new baby, and Froggy is hoping for a brother. So when his parents introduce him to Pollywogilina, his new baby sister, Froggy is disappointed. Not only is she a girl, but Polly is too little to do anything! Froggy isn't even allowed to take care of her until her tail falls off. Waiting is hard, but just when he's ready to give up, Polly's legs finally grow and big brother Froggy steps in to show her the ropes.<br /><br /> Illustrated by Frank Remkiewicz.<br /><br />",,32.0,548,10,39,139,144,216
724,0753176114,"(['  Kindle  \n $12.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $35.50  \n\n\n   \n     1 New from $35.50      ', '  Paperback  \n $29.99  \n\n\n   \n     1 Used from $32.93         1 New from $29.99      ', '  Audio CD  \n $64.95  \n\n\n   \n     1 New from $64.95      ', '  Digital  \n    \n                        \n    —\n             \n\n\n   \n  '], '0753176114')",29.99,35.5,"Priest (Jack Taylor, #5)",ISIS Large Print Books,1,2007,Ken Bruen,3.99,"Ireland, awash in cash and greed, no longer turns to the Church for solace or comfort. But the decapitation of Father Joyce in a Galway church horrifies even the most jaded citizen. Jack Taylor, devastated by the recent trauma of personal loss, has always believed himself to be beyond salvation. But a new job offers a fresh start, and an unexpected partnership makes him hope that his one desperate vision -- of family -- might yet be fulfilled. An eerie mix of exorcism, a predatory stalker and an unlikely attraction lure him into a murderous web of dark conspiracies as the spectre of a child haunts Jack's every waking moment.",,296.0,1747,23,71,349,767,537
729,160206069X,"(['  Kindle  \n $0.00  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $28.95  \n\n\n   \n     3 New from $28.95      ', '  Paperback  \n $14.99  \n\n\n   \n     1 Used from $28.38         6 New from $14.99      ', '  MP3 CD  \n $19.00  \n\n\n   \n     1 New from $19.00      '], '160206069X')",14.99,28.95,In Ghostly Japan,Cosimo Classics,0,2007,Lafcadio Hearn,3.83,"Part stories of spirits and part intellectual reflections on the spiritual, In Ghostly Japan is a phantasmagoric wander through a foreign landscape. Here can be found a mountain of skulls, beautiful specters called forth in love, and a gruesome rivalry. Interspersed between these ghostly tales are philosophical contemplations on Buddhism, poetry, and existence, by the author, a Westerner who found his true home in the heart of Japan. Bohemian and writer PATRICK LAFCADIO HEARN (1850-1904) was born in Greece, raised in Ireland, and worked as newspaper reporter in the United States before decamping to Japan. He also wrote The Romance of the Milky Way (1899), and Kwaidon (1904).",,252.0,965,4,58,283,371,249
730,0143114131,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $10.83 - $16.69  \n\n\n   \n     87 Used from $1.94         17 New from $12.53         5 Collectible from $14.95      ', '  Paperback  \n $15.96  \n\n\n   \n     110 Used from $1.16         24 New from $8.50         2 Collectible from $9.00      ', '  Audio CD  \n $9.95  \n\n\n   \n     4 Used from $6.99      '], '0143114131')",15.96,10.83,"The Sharper Your Knife, the Less You Cry: Love, Laughter, and Tears at the World's Most Famous Cooking School in Paris",Penguin Books,117,2008,Kathleen Flinn,3.68,"<b>Kathleen Flinn's unforgettable, New York Times Bestselling account of her French culinary adventures</b><br /><br /> Kathleen Flinn was a thirty-six-year-old middle manager trapped on the corporate ladder - until her boss eliminated her job. Instead of sulking, she took the opportunity to check out of the rat race for good - cashing in her savings, moving to Paris, and landing a spot at the venerable Le Cordon Blue cooking school.<br /><br /><i>The Sharper Your Knife, the Less You Cry</i> is the funny and inspiring account of her struggle in a stew of hot-tempered, chefs, competitive classmates, her own ""wretchedly inadequate"" French - and how she mastered the basics of French cuisine. Filled with rich, sensual details of her time in the kitchen - the ingredients, cooking techniques, wine, and more than two dozen recipes - and the vibrant sights and sounds of the markets, shops, and avenues of Paris, it is also a journey of self-discovery, transformation, and, ultimately, love.",,278.0,9808,192,766,3110,3677,2063
731,0715622048,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $12.46  \n\n\n   \n     7 Used from $8.45         3 Collectible from $13.82      ', '  Paperback  \n $14.93  \n\n\n   \n     30 Used from $0.02         4 New from $10.91      ', '  Audio, Cassette  \n $6.38  \n\n\n   \n     1 New from $6.38      '], '0715622048')",14.93,12.46,An Awfully Big Adventure,Gerald Duckworth & Company,0,1989,Beryl Bainbridge,3.5700000000000003,"Told with black humour, this is the story of a group of no-hope rep actors in Liverpool in the mid 50s, doing Peter Pan. Stella, the heroine who is Tinkerbell, is a sad and lonely young woman who repeatedly calls the speaking clock for comfort.",,193.0,992,35,102,306,365,184
732,0434510297,"(['  Kindle  \n $12.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $6.48  \n\n\n   \n     9 Used from $6.13         4 Collectible from $20.00      ', '  Paperback  \n $17.00  \n\n\n   \n     64 Used from $2.29         6 New from $9.95         2 Collectible from $6.98      ', '  Mass Market Paperback  \n    \n                             from $64.99                \n\n\n   \n     1 Used from $64.99      ', '  Audio CD  \n $20.29  \n\n\n   \n     2 New from $17.47      '], '0434510297')",17.0,6.48,A Way in the World,William Heinemann Ltd,0,1997,V.S. Naipaul,3.43,"In his long-awaited, vastly innovative new novel, Naipaul, ""one of literature's great travelers"" (Los Angles Times), spans continents and centuries to create what is at once an autobiography and a fictional archaeology of colonialism. ""Dickensian . . . a brilliant new prism through which to view (Naipaul's) life and work.""--New York Times.",,256.0,532,24,65,178,188,77
735,0865160996,"(['  Hardcover  \n $128.00  \n\n\n   \n     1 New from $128.00      ', '  Paperback  \n $21.42  \n\n\n   \n     3 Used from $21.42         2 New from $33.66      '], '0865160996')",21.42,128.0,Clouds,Bolchazy-Carducci Publishers,0,1992,Aristophanes,3.75,,,232.0,7297,159,642,2126,2276,2094
736,0441658571,"(['  Kindle  \n $0.00  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $17.47  \n\n\n   \n     1 Used from $27.25         10 New from $17.47      ', '  Paperback  \n $4.95  \n\n\n   \n     1 New from $4.95      ', '  Mass Market Paperback  \n $7.98  \n\n\n   \n     3 Used from $4.00      ', '  Audio CD  \n $34.99  \n\n\n   \n     1 New from $34.99      '], '0441658571')",4.95,17.47,"Pellucidar (Pellucidar, #2)",Ace,1,1985,Edgar Rice Burroughs,3.77,"A Sequel To At the Earth’s Core<br />American David Innes narrates return to exotic, savage land below the Earth crust, old pal Abner Perry, female Mahar, an untamed wilderness where the sun never sets. He seeks beloved Beautiful Dian, torn away by trickery. He crosses the Pellucidar, the Land of Awful Shadow under a pendant moon, encounters prehistoric beasts &amp; strange peoples.",,192.0,2223,24,132,733,776,558
737,1590131428,"(['  Kindle  \n $5.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $28.76  \n\n\n   \n     15 Used from $4.20         4 New from $28.76         3 Collectible from $29.99      ', '  Paperback  \n $15.56  \n\n\n   \n     31 Used from $2.23         19 New from $13.74      '], '1590131428')",15.56,28.76,"Tenacious (Kydd Sea Adventures, #6)",McBooks Press,1,2007,Julian Stockwin,4.22,"This book finds Thomas Kydd aboard <i>Tenacious</i>, part of a small squadron commanded by Vice Admiral Horatio Nelson. Its mission is to scour the Mediterranean and locate Napoleon and his army. Kydd's newly fired ambition leads him to volunteer for shore service in the capture of Minorca. Later, he faces the great ships-of-the-line at the Battle of the Nile as the British take on the French in a no-holds-barred struggle for supremacy in southern waters. But there is one more test to come: the Siege of Acre, where Kydd and a handful of British seamen under the command of Sir Sidney Smith face an army of thirteen thousand!",,335.0,761,4,9,107,334,307
